trialidx,setidx,stimIdx,repIdx,stim_obj,CorrectRespL,CorrectRespR
1,4,23,1,stims/cucumber.jpg,x,period
2,1,15,1,stims/log.jpg,z,comma
3,2,30,1,stims/mallet01b.jpg,z,comma
4,8,25,1,stims/drill01b.jpg,c,slash
5,1,15,2,stims/log.jpg,z,comma
6,6,18,1,stims/cheese.jpg,x,period
7,4,23,2,stims/cucumber.jpg,x,period
8,9,26,1,stims/fork07b.jpg,c,slash
9,6,18,2,stims/cheese.jpg,x,period
10,3,7,1,stims/cardboardbox.jpg,z,comma
11,4,23,3,stims/cucumber.jpg,x,period
12,7,4,1,stims/blueberry01.jpg,c,slash
13,9,26,2,stims/fork07b.jpg,c,slash
14,8,25,2,stims/drill01b.jpg,c,slash
15,1,15,3,stims/log.jpg,z,comma
16,7,4,2,stims/blueberry01.jpg,c,slash
17,5,62,1,stims/syringe01.jpg,x,period
18,4,23,4,stims/cucumber.jpg,x,period
19,3,7,2,stims/cardboardbox.jpg,z,comma
20,2,30,2,stims/mallet01b.jpg,z,comma
21,5,62,2,stims/syringe01.jpg,x,period
22,6,18,3,stims/cheese.jpg,x,period
23,9,26,3,stims/fork07b.jpg,c,slash
24,3,7,3,stims/cardboardbox.jpg,z,comma
25,1,15,4,stims/log.jpg,z,comma
26,7,4,3,stims/blueberry01.jpg,c,slash
27,9,26,4,stims/fork07b.jpg,c,slash
28,5,62,3,stims/syringe01.jpg,x,period
29,7,4,4,stims/blueberry01.jpg,c,slash
30,4,23,5,stims/cucumber.jpg,x,period
31,6,18,4,stims/cheese.jpg,x,period
32,2,30,3,stims/mallet01b.jpg,z,comma
33,8,25,3,stims/drill01b.jpg,c,slash
34,9,26,5,stims/fork07b.jpg,c,slash
35,3,7,4,stims/cardboardbox.jpg,z,comma
36,2,30,4,stims/mallet01b.jpg,z,comma
37,4,23,6,stims/cucumber.jpg,x,period
38,1,15,5,stims/log.jpg,z,comma
39,6,18,5,stims/cheese.jpg,x,period
40,8,25,4,stims/drill01b.jpg,c,slash
41,3,7,5,stims/cardboardbox.jpg,z,comma
42,7,4,5,stims/blueberry01.jpg,c,slash
43,5,62,4,stims/syringe01.jpg,x,period
44,6,18,6,stims/cheese.jpg,x,period
45,4,23,7,stims/cucumber.jpg,x,period
46,8,25,5,stims/drill01b.jpg,c,slash
47,9,26,6,stims/fork07b.jpg,c,slash
48,5,62,5,stims/syringe01.jpg,x,period
49,1,15,6,stims/log.jpg,z,comma
50,2,30,5,stims/mallet01b.jpg,z,comma
51,3,7,6,stims/cardboardbox.jpg,z,comma
52,4,23,8,stims/cucumber.jpg,x,period
53,1,15,7,stims/log.jpg,z,comma
54,8,25,6,stims/drill01b.jpg,c,slash
55,2,30,6,stims/mallet01b.jpg,z,comma
56,5,62,6,stims/syringe01.jpg,x,period
57,6,18,7,stims/cheese.jpg,x,period
58,7,4,6,stims/blueberry01.jpg,c,slash
59,8,25,7,stims/drill01b.jpg,c,slash
60,9,26,7,stims/fork07b.jpg,c,slash
61,5,62,7,stims/syringe01.jpg,x,period
62,7,4,7,stims/blueberry01.jpg,c,slash
63,1,15,8,stims/log.jpg,z,comma
64,9,26,8,stims/fork07b.jpg,c,slash
65,8,25,8,stims/drill01b.jpg,c,slash
66,3,7,7,stims/cardboardbox.jpg,z,comma
67,2,30,7,stims/mallet01b.jpg,z,comma
68,3,7,8,stims/cardboardbox.jpg,z,comma
69,9,26,9,stims/fork07b.jpg,c,slash
70,4,23,9,stims/cucumber.jpg,x,period
71,2,30,8,stims/mallet01b.jpg,z,comma
72,5,62,8,stims/syringe01.jpg,x,period
73,6,18,8,stims/cheese.jpg,x,period
74,5,62,9,stims/syringe01.jpg,x,period
75,3,7,9,stims/cardboardbox.jpg,z,comma
76,7,4,8,stims/blueberry01.jpg,c,slash
77,1,15,9,stims/log.jpg,z,comma
78,4,23,10,stims/cucumber.jpg,x,period
79,9,26,10,stims/fork07b.jpg,c,slash
80,6,18,9,stims/cheese.jpg,x,period
81,7,4,9,stims/blueberry01.jpg,c,slash
82,8,25,9,stims/drill01b.jpg,c,slash
83,7,4,10,stims/blueberry01.jpg,c,slash
84,2,30,9,stims/mallet01b.jpg,z,comma
85,1,15,10,stims/log.jpg,z,comma
86,3,7,10,stims/cardboardbox.jpg,z,comma
87,5,62,10,stims/syringe01.jpg,x,period
88,1,15,11,stims/log.jpg,z,comma
89,8,25,10,stims/drill01b.jpg,c,slash
90,4,23,11,stims/cucumber.jpg,x,period
91,6,18,10,stims/cheese.jpg,x,period
92,4,23,12,stims/cucumber.jpg,x,period
93,2,30,10,stims/mallet01b.jpg,z,comma
94,5,62,11,stims/syringe01.jpg,x,period
95,9,26,11,stims/fork07b.jpg,c,slash
96,6,18,11,stims/cheese.jpg,x,period
97,8,25,11,stims/drill01b.jpg,c,slash
98,3,7,11,stims/cardboardbox.jpg,z,comma
99,7,4,11,stims/blueberry01.jpg,c,slash
100,9,26,12,stims/fork07b.jpg,c,slash
101,8,25,12,stims/drill01b.jpg,c,slash
102,5,62,12,stims/syringe01.jpg,x,period
103,2,30,11,stims/mallet01b.jpg,z,comma
104,3,7,12,stims/cardboardbox.jpg,z,comma
105,2,30,12,stims/mallet01b.jpg,z,comma
106,7,4,12,stims/blueberry01.jpg,c,slash
107,1,15,12,stims/log.jpg,z,comma
108,6,18,12,stims/cheese.jpg,x,period
